"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 9, 2024 12:23:54 AM PDT","21308340621","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-501.20","0","-501.20"
"Sep 9, 2024 6:14:03 PM PDT","21308340621","Refund","112-0702849-5620258","MJQ-TR250E","DACAT-RICHFU TR250E 14L Autoclave","1","amazon.com","Standard Orders","Amazon","SCHAUMBURG","IL","60173","MarketplaceFacilitator","-488.99","-48.90","-5.04","0","0","0","0","0","0","0","48.90","53.68","5.04","0","0","-435.31"
"Sep 9, 2024 6:46:48 PM PDT","21308340621","Service Fee","f5ce23b5-99a7-4cd7-ba69-91e4e9aca606","","Coupon Redemption Fee: Save $100 on TR250M","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Sep 9, 2024 10:29:01 PM PDT","21308340621","Refund","114-8569736-5713863","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","Fairfield","Connecticut","06825","MarketplaceFacilitator","-868.99","-55.18","0","0","0","0","0","0","0","0","55.18","99.28","0","0","0","-769.71"
"Sep 11, 2024 10:49:43 AM PDT","21308340621","Order","113-1903086-1813046","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","Eau claire","Wisconsin","54703","MarketplaceFacilitator","868.99","47.79","0","0","0","0","0","0","0","0","-47.79","0","-51.37","0","0","817.62"
"Sep 11, 2024 6:41:44 PM PDT","21308340621","Refund","111-1862267-4235449","MJQ-TR250M","DACAT-RICHFU TR250M 18L Autoclave","1","amazon.com","Standard Orders","Amazon","ZEELAND","MI","49464","MarketplaceFacilitator","-739.99","-44.40","0","0","0","0","0","0","0","0","44.40","83.80","0","0","0","-656.19"
"Sep 11, 2024 7:15:10 PM PDT","21371884201","Service Fee","FBA17YR2W0PC","","FBA Inbound Placement Service Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sep 11, 2024 7:16:27 PM PDT","21371884201","Order","114-8601318-9731415","QXJ-QF-4006DW","DACAT-RICHFU Ultrasonic Cleaner, 6.5L Professional Ultrasonic Cleaner Stainless Steel Heated Industrial Cleaning Machine，Ultrasonic Parts Cleaner Fi","1","amazon.com","Standard Orders","Amazon","LIBBY","MT","59923","","109.99","0","0","0","0","0","0","0","0","0","0","0","-16.27","0","0","93.72"
"Sep 12, 2024 4:27:14 AM PDT","21371884201","FBA Inventory Fee","xo8n3ja980","","FBA Removal Order: Disposal Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-73.68","-73.68"
"Sep 12, 2024 4:27:18 AM PDT","21371884201","FBA Inventory Fee","xo8n3ja980","","FBA Removal Order: Disposal Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-134.64","-134.64"
"Sep 12, 2024 10:35:55 AM PDT","21371884201","Order","111-7132403-5129035","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","KNOXVILLE","IA","50138","MarketplaceFacilitator","868.99","60.83","0","0","0","0","0","0","0","0","-60.83","0","-51.37","0","0","817.62"
"Sep 12, 2024 10:37:08 AM PDT","21371884201","Order","111-4038104-7491460","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","BRIDGEPORT","WV","26330","MarketplaceFacilitator","868.99","60.83","6.99","0","0","0","0","0","-6.99","0","-60.83","0","-51.37","0","0","817.62"
"Sep 12, 2024 12:44:43 PM PDT","21371884201","Refund","111-8576199-9904247","QF-TR250NM","DACAT-RICHFU Automatic Autoclave TR250NM 18L","1","amazon.com","Standard Orders","Amazon","HOCKLEY","TX","77447","MarketplaceFacilitator","-799.99","-57.75","0","0","0","0","0","0","100.00","0","57.75","0","0","0","0","-699.99"
"Sep 12, 2024 1:11:11 PM PDT","21371884201","Order","113-0436579-1396202","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","HOUSTON","TX","77056","MarketplaceFacilitator","968.99","79.94","0","0","0","0","0","0","0","0","-79.94","0","-51.37","0","0","917.62"
"Sep 13, 2024 10:34:27 AM PDT","21371884201","Order","S01-5548239-6047645","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","sim1.stores.amazon.com","Standard Orders","Amazon","Dewitt","IA","52742","","0","0","0","0","0","0","0","0","0","0","0","0","-69.00","0","0","-69.00"
"Sep 13, 2024 10:36:25 AM PDT","21371884201","Order","114-4127288-4569801","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","FLUSHING","NY","11354","MarketplaceFacilitator","868.99","77.12","0","0","0","0","0","0","0","0","-77.12","0","-51.37","0","0","817.62"
"Sep 13, 2024 10:59:12 AM PDT","21371884201","Order","113-9689717-3508265","MJQ-TR250M","DACAT-RICHFU TR250M 18L Autoclave","1","amazon.com","Standard Orders","Amazon","VAN NUYS","CA","91406","MarketplaceFacilitator","699.99","61.80","0","0","0","0","0","0","-49.50","0","-61.80","0","-46.12","0","0","604.37"
"Sep 13, 2024 11:09:20 AM PDT","21371884201","Order","113-9689717-3508265","MJQ-TR250M","DACAT-RICHFU TR250M 18L Autoclave","1","amazon.com","Standard Orders","Amazon","VAN NUYS","CA","91406","MarketplaceFacilitator","699.99","61.80","0","0","0","0","0","0","-49.50","0","-61.80","0","-46.12","0","0","604.37"
